,BTC-USD,BTC-USD,BTC-USD,ETH-USD,ETH-USD,ETH-USD,USDT-USD,USDT-USD,USDT-USD,BNB-USD,BNB-USD,BNB-USD,USDC-USD,USDC-USD,USDC-USD,XRP-USD,XRP-USD,XRP-USD,ADA-USD,ADA-USD,ADA-USD,DOGE-USD,DOGE-USD,DOGE-USD,SOL-USD,SOL-USD,SOL-USD,TRX-USD,TRX-USD,TRX-USD
,Alpha,Beta,Omega Ratio,Alpha,Beta,Omega Ratio,Alpha,Beta,Omega Ratio,Alpha,Beta,Omega Ratio,Alpha,Beta,Omega Ratio,Alpha,Beta,Omega Ratio,Alpha,Beta,Omega Ratio,Alpha,Beta,Omega Ratio,Alpha,Beta,Omega Ratio,Alpha,Beta,Omega Ratio
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-24,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-25,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-26,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-27,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-28,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-29,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-01,0,1,1,-0.00040795997227825124,0.6998556435503611,0.5335631407135046,-0.0001346157098934261,0.011677692517884107,0.45277043003613565,-0.0029113399339158867,0.8648024139169609,0.23009178125835306,-1.3275394956874322e-05,-0.00032487780184607516,0.4613490785754437,-0.00147266726178375,0.36640946001683117,0.3010935174710132,0.003900050563716561,0.9010677493865333,1.9910036556034652,-0.003714325911024249,1.5285111764461683,0.945014956306548,0.004378753157238914,1.8662648830000463,2.2668229102580844,0.01049649508120528,-0.052698217056634224,1.5058501171877554
2024-07-02,0,1,1,0.0005086000405173999,0.7309479484358301,1.1060737887424656,-0.00020041338914938286,0.010292072487409326,0.8904656983432068,-0.00016522864289647874,0.7447664449468449,0.9142624893816015,-1.971559644069138e-05,0.00022735680296735822,0.9131474125477334,0.002502358885335467,0.265518281974481,1.445712895471412,0.00907913524716034,0.4609537650565161,3.626363715271137,-0.0016655981987036277,0.9708150284312819,0.8003938760332608,0.017041113244148223,1.628795324805367,3.2783269925201615,0.00835215923817917,-0.22699199088594957,1.9743274654851615
2024-07-03,0,1,1,-0.0018934079359489663,0.9131336618300123,0.5564310018553537,-6.76198659700799e-05,-0.0002909419290829556,1.1603769086411357,-0.002561752888526083,0.9349429377803291,0.5188629189140845,9.890404498949425e-06,-0.001284798612097131,1.1698315839029416,-1.51354519019269e-05,0.5440419242971185,1.1065695764279455,0.008972749598341209,0.5862918830067138,4.145282478300395,-0.0030570545588455835,1.149262843564151,0.6749543922712026,0.008981474940747816,2.25745137403242,1.4743680866263764,0.006905172147097063,-0.06415545021346807,2.072958045336691
2024-07-04,0,1,1,-0.005261804358067879,1.055797948664307,0.13338075567247815,9.893206409924697e-05,-0.004951279340565952,2.875730397737123,-0.004561609194059787,1.1381510121406746,0.2873213909594285,9.418298842837461e-06,-0.0007046679879506164,2.811419225533501,-0.0024762620431509775,0.9239562902651713,0.785697300941219,0.005701008946296939,1.4041699455870653,1.1243001244603255,-0.009639796320749166,1.5079298252621676,0.19637019962500987,-0.0014340570563941973,1.7980469875560492,0.5277587791489763,0.008318158590883595,0.19416872605359908,4.315455023473826
2024-07-05,0,1,1,-0.007948413670804563,1.0655034328716642,0.09318072769137961,0.000213308923265766,-0.006648223540427078,2.5201429452553747,-0.008007454304054015,1.134175241074204,0.21028827719077553,-4.799183099913315e-06,-7.765908211417777e-05,2.440332738191982,-0.005759682066028527,0.9550578033649179,0.4405546479813796,-0.0005095532531133994,1.409003595633773,0.7350127856868792,-0.006981179304280168,1.5493930142563122,0.31770006703472314,0.011337227560087149,1.7694069228533298,1.3178365910174556,0.006310361531757729,0.20133722484163644,3.567777312721279
